sentence,aspect,sentiment
it was so cold at night even though the room was always warm that i thought there was central heating or something.,restaurant,neutral
the first thing that attracts attention is the warm reception and the smiling receptionists. excellent service where the staff make sure that you got your request and keep you comfortable. very nice swimming pool and a gym that suits a 5-star hotel.,reception,positive
customer service was good and they were coming to the customer with a warm welcome. they were helpful when i wanted to see the place around me. overall the experience was great.,service,positive
disappointing hotel not worth the rating of 4 stars.... reception is weak.... housekeeping is very bad.... furniture is kind of old..... hotel restaurant is bad..... double wi-fi in the upper floors..... the only advantage is that the hotel is close to anshul amusement park.....,furniture,negative
"good location i was in munich last september and i booked the hotel through booking.com where i stayed for two nights at a high price of 500 euros and the room was good and it has a large window such as a balcony overlooking the square and next to the hotel a shopping center, restaurants and cafes can be downloaded to enjoy it and does not need any means of transport it is very close",beach,neutral
frustrated it wasn't the first or last time i stayed at this hotel.,pool,neutral
decor and finishing rooms are very bad.,rooms,negative
"* air conditioning does not work but does not need * restaurant medium * there is no cte d'ivoire (cabinet), a defect i consider more serious than the absence of an elevator and the worker is forced to carry bags on the ladder",restaurant,neutral
sleazy rooms - bad rooms: the rooms were spacious but the furniture looked sleazy and the room lighting was also inadequate. bad.,rooms,negative
just print the map from their website as there are several streets with the same name in venice (i know it’s very hard to believe). but we knew that in a rough way by wandering around the wrong place trying to find the street number that wasn’t there.,facilities,negative
every hotel entrance smells of smoke and moisture and i felt nauseous while i was there as the rooms were cold.,rooms,negative
"but as everyone noticed, workers need to speak a second language, especially those who work at receptions. i'm done talking there :) because it's not at all easy to try to communicate with them, even if you ask about tourist matters, they have little information to give.",reception,negative
"the shampoo that you meet in the room is the one that you walk around and it's there and the bathroom that's in and the buffet needs to be wiped and the soap and the dishes and the cups are wet, but you don't wash and you don't supply the workers.",bathroom,negative
"hotel for visitors to the global village, dubailand and the chinese market, a good stay for seven hours after visiting the global village and flower garden.. where the room was a family of 3 beds and the space was small",hotel services,neutral
"this is a budget hotel, not a budget hotel.",staff,neutral
there is also not enough parking.,parking,negative
"the service is terrible, the service is unbearable, the food is bad, and the room service is not enough, either you interfere with something, but it cleans the family and wipes the floor.",service,negative
"the service was good, the food wasn't bad, the beverage service was really good, except for the plastic cups.",fitness,neutral
all facilities are in place for a self-catering apartment including a sink and a car park. give it 3 stars only.,cleanliness,neutral
"a good hotel to stay with family i stayed with my family in liwa heights for two days last week, and got a special price through the site.",cleanliness,neutral
"the sink in the bathroom did not leak water well, and the smell of mosquito spray in the room was terrible. at these prices, i will not come back again.",cleanliness,neutral
"cairo the hotel is clean and beautiful, but the service is disgusting and the food is final.",amenities,negative
"rooms the room is suitable for space but it is simple and lacks the african character except for the paintings only in the room, as well as the upper floors only after the fifth floor is the one that has a good view of the surrounding areas,",room,neutral
"a rather good hotel, well located in malper arch, but there are disadvantages in this hotel, such as the lack of soundproofing in the rooms, the sound of guests and the sounds of cars.",restaurant,neutral
"as for the food is very bad and the juices and drinks are all supplied with water, unfortunately the management is very weak, even the moral level of russian tourists is very low, and that was in october 2012.",eating,negative
very nice hotel with a good view of the baron's palace (if you're lucky to have a room overlooking it),hotel,positive
indescribable beauty it is a wonderful place in every sense of the word and the workers are also wonderful and the atmosphere is beautiful and the facilities are endless and the ponds are very beautiful and the beach too,hotel services,neutral
the average hotel is moderately acceptable and for some unacceptably high needs.,television,neutral
the bus station is very far away. the hotel is located near the highway. for business trips it is fine but not for entertainment.,hotel,positive
"not up to the standard of a four-star hotel, but it's a five-star, bad room service... the staff is incompetent, and the way it's treated doesn't fit in a big hotel.",teamwork,negative
very special hotel very great hotel and distinctive in everything with its services and facilities and i recommend to try the villas are charming and a clean and quiet beach and appreciate you take your rest in the morning hours,beach,positive
the gym was well-prepared and was run by an enthusiastic manager named mike. some small upsets it's a good gym but there's no fermented grape juice i mean i've got a healthy stay.,location,neutral
"the location is excellent, the location of the apartments is excellent and the building is five floors of the apartments on the fifth floor. underground station is adjacent to the apartments only one street teams. all services are available in the area and very convenient.",location,positive
station walk 3 minutes walk to the chinese market 7 minutes from counter 10 buses – airport bus to central station then hotel taxi collaborate taxi station hotel,transportation,positive
this is the third trip to mecca within al-bayt hotels and the best service and best value for other hotels.,service,positive
excellent cleanliness and excellent handling and the pool is large and overlooking the sea as there are balcony in the rooms overlooking the garden or the sea as well as the sports room overlooking the sea and the price is very appropriate.,prices,positive
"i have been from two years we are staying in the hotel hotel and the situation is terrible really means the cockroaches are in the hotel and i found them in my personal room and also air conditioners almost does not work any you will fly to open the window and did not sleep well and say to madame alia take care of your hotel zain and you must choose the workers well because most of the workers style their purpose,,,,, and thank you...",rooms,neutral
and the price is rather high and their breakfast is arabic and very ordinary and not very varied and i liked in the hotel the service of easy transportation to and from the airport and recommend to those who have a transit by choice,prices,negative
"and excellent location and close to the holy mosque of mecca, there are no problems in boarding and hostels to go to the sanctuary for many elevators.",location,positive
"and the beach can't swim, and the smell of fuel is everywhere, but it's perfect for diving enthusiasts, and the animation team was excellent, and those are the bad notes.",team,positive
buffet breakfast five stars and good food.,food,positive
"happy trip to cancun my daughter and i enjoyed our trip to cancun, where diversity and beauty in all activities from the docking to the beach and all the workers with experience and efficiency and more we enjoyed the joker entertainment team and the schedule is varied on the level of the week and we spread a lot with the loyalty and mahmood power chef animation",facilities,positive
the view over the kaaba is beautiful in every sense of the word.,tourism,positive
"it is very close to the sanctuary and is characterized by great welcome, cleanliness and respect for visitors, and room service was excellent.",interaction,positive
"nice and quiet, although the front entrance doesn't look promising. maybe the room's short of a chair (to throw your clothes on and so on), but hey, for 8.50 for two people a night?",parking,neutral
nice hotel.,hotel,positive
"i always go and the family there is an excellent service, especially the internet is everywhere and this is what was comfortable for me to follow my work by monitoring work emails and i am with my family",service,positive
"... we will return peace to you, a very clean and quiet hotel, a well-distributed room, a young staff working hard. we had really fun times there. note that it must be mentioned breakfast medium and must be improved further, the very small gym has only 3 devices for running where i happened to be embarrassed with a french tourist where i had to stop to run to give him the opportunity to train. except that hotel is great and i will return to him every time.",hotel,positive
"the resort is beautiful and spacious, the rooms are wonderful and comfortable, the pool is suitable for all ages, the restaurants are clean, the food is good to a large extent and the activities are entertaining. the best thing about the hotel is the team of animation. it is great how friendly and light the shade, especially chico, kimo, ismail and masha, and also the creative buffet crew, especially chef macarons and mr. mohammed al tayeb, they made me wish to return to the hotel again.",restaurant,positive
the hotel is close to the campus and the reception staff is more than wonderful and quick to serve them. i asked to change the room and add a bed. they changed the room to a view room with the addition of the bed without an increase in the price of the room,receptionists,positive
"some rooms have a view, others without a view.",amenities,neutral
"there's a supermarket nearby. restaurants are close by until 4 a.m., prices are relatively high.",facilities,positive
it is close to a market and many tourist places – the hotel staff are cooperative – there is no agriculture – there is no arab tv channels,tourism,negative
